id,title,original_title,features,overview,poster_path
1306368,El botín,The Rip,"acción suspense crimen miami,florida police dirtycop trust angry hiddenmoney factual lalagomà complicated mattdamon benaffleck stevenyeun teyanataylor joecarnahan",La confianza tambalea cuando un grupo de policías de Miami descubre millones de dólares en efectivo en una casa de seguridad abandonada. Ya nada ―ni nadie― queda fuera de sospecha.,/28hTjQCq0ul6WUR22qRsWEeuxlj.jpg
1043197,Atrapando A Un Monstruo,Dust Bunny,acción fantasía suspense murdermystery monsterunderthebed madsmikkelsen sophiesloan sigourneyweaver daviddastmalchian bryanfuller,Una niña de ocho años pide ayuda a su intrigante vecino para matar al monstruo que hay debajo de su cama y que cree que se comió a su familia.,/vobigFZFvbYPf6ElYJu07P9rH8C.jpg
1242898,Depredador: Tierras salvajes,Predator: Badlands,acción cienciaficción aventura survival outcast alienplanet teamup admiring amused audacious ellefanning dimitriusschuster-koloamatangi ravinarayan michaelhomick dantrachtenberg,"En el futuro, en un planeta remoto, un joven Depredador, marginado de su clan, encuentra un aliado inesperado en Thia y se embarca en un peligroso viaje en busca del adversario definitivo.",/r7TEWHLr1lsIsTkiEFwtM3hAWma.jpg
83533,Avatar: Fuego y ceniza,Avatar: Fire and Ash,cienciaficción aventura fantasía witch clone spacewar tribe sequel alien transhumanism family spaceadventure familydynamics rival samworthington zoesaldaña sigourneyweaver stephenlang jamescameron,"Devastados por la guerra contra la RDA y la perdida de su hijo mayor, Jake Sully y Neytiri se enfrentan a una nueva amenaza en Pandora: el pueblo de la ceniza, una violenta tribu Na'vi ávida de poder liderada por los despiadados Varang.",/coJkkPBDeBsYecxoqMnZm8TKlBL.jpg
1242501,Icefall,Icefall,acción crimen suspense demeaning joelkinnaman carajademyers dannyhuston grahamgreene stefanruzowitzky,"Un exmarine y cazador furtivo llamado Harlan (Joel Kinnaman) descubre un avión cargado con millones de dólares que ha caído en un lago congelado. Tras ser arrestado por una guardabosques nativa, un grupo de criminales y policías corruptos se enteran de su paradero. Por ello, Harlan y la ranger se unen para luchar e intentar escapar a través del peligroso lago antes de que el hielo se derrita.",/8qQdun8426bfcQePFSZnucWGSbQ.jpg
1084242,Zootopia 2,Zootopia 2,animación comedia aventura familia misterio snake bunny fox cop sequel anthropomorphism animals displacement buddycop buddycomedy complex playful talkinganimal 3danimation embarrassed excited ginnifergoodwin jasonbateman kehuyquan fortunefeimster jaredbush,"Tras resolver el caso más importante de la historia de Zootopia, los policías novatos Judy Hopps y Nick Wilde se encuentran en la sinuosa pista de un gran misterio cuando Gary De'Snake llega y revoluciona la metrópolis animal.",/LrMBxFwnsMgXTnaWqHYinn3vDN.jpg
1368166,La Empleada,The Housemaid,misterio suspense basedonnovelorbook psychologicalthriller housekeeper attic housemaid adaptation mystery suspensethriller sinister sydneysweeney amandaseyfried brandonsklenar michelemorrone paulfeig,"Millie es una joven que, tras perder su trabajo, acepta un puesto como sirvienta en la lujosa pero inquietante mansión de los Winchester. Pronto se da cuenta de que algo no está bien en la casa y con sus habitantes, especialmente con Nina, la dueña, que actúa de manera errática.",/67PMTBnKahx4ywg7sqyjCHlvaSI.jpg
991494,Bob Esponja: En busca de los pantalones cuadrados,The SpongeBob Movie: Search for SquarePants,animación familia comedia aventura fantasía basedoncartoon pirate basedontvseries irreverent underworld tomkenny clancybrown rodgerbumpass billfagerbakke derekdrymon,Bob Esponja se sumerge en lo más profundo del océano para probar su valor persiguiendo al Holandés Errante.,/cuXscQfRr1KLknkqNVObkAA7HyE.jpg
1252037,Tiger: Tanque de guerra,Der Tiger,bélica acción drama worldwarii tank antiwar 1940s easternfront meth segundaguerramundial laurencerupp davidschütter sebastianurzendowsky leonardkunz dennisgansel,"Frente oriental, 1943: la tripulación de un tanque Tiger alemán es enviada a una misión peligrosa muy lejos de las reñidas líneas del frente. Conforme viajan a través de la mortífera tierra de nadie, deben enfrentar tanto al enemigo como a sus propios demonios internos.",/iqPUwI03NVnyrXmd0hiN4Au93hv.jpg
1412598,Killer Whale,Killer Whale,suspense terror acción misterio cienciaficción biting survivalhorror killerwhale orca aquatichorror absurd strandedatsea virginiagardner melaniejarnson mitchellhope isaaccrawley jo-annebrechin,Las mejores amigas Maddie y Trish quedan atrapadas en una remota laguna con la peligrosa orca Ceto.,/cqbXxAw9sUr4tJ5ffEwtnz6IL9o.jpg
755898,La guerra de los mundos,War of the Worlds,cienciaficción suspense government attack privacy surveillance cybersecurity district onlineprivacy screenlife war depressed absurd derisive icecube evalongoria clarkgregg imanbenson richlee,"Will Radford, un destacado analista de ciberseguridad, pasa sus días rastreando posibles amenazas a la seguridad nacional a través de un programa de vigilancia masiva. Un ataque de una entidad desconocida le lleva a cuestionarse si el gobierno le está ocultando algo a él... y al resto del mundo.",/fjgSlNGECNgVeMJaOdDAXmGh7ZM.jpg
1311031,Demon Slayer: Kimetsu no Yaiba Castillo infinito,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,animación acción fantasía supernatural sequel basedonmanga demon mourning shounen anime complex brothersisterrelationship taishoperiod intense 花江夏樹 櫻井孝宏 石田彰 下野紘 外崎春雄,"Tanjirō Kamado es un chico que se unió a una organización dedicada a cazar demonios después de que su hermana menor, Nezuko, fuera convertida. Mientras los miembros de la organización y los Pilares participaban en un programa de entrenamiento grupal, como preparación para la inminente batalla contra los demonios, Muzan Kibutsuji aparece en la Mansión Ubuyashiki. Con el jefe de la organización en peligro, Tanjirō y los Pilares corren hacia la mansión, pero son arrastrados a un espacio misterioso por obra de Kibutsuji. El lugar al que han caído Tanjirō y los cazadores es el bastión de los demonios: el Castillo Infinito. Así, el campo de batalla queda establecido para dar fin a la guerra entre humanos y demonios.",/6N21gcFbhT4ocdTU4MGREAaM5Vz.jpg
